vd_id;keyword
0;israel
0;jewish_prayer
0;judaism
0;jewisheducation
0;jewishleadership
0;jerusalem
1;jerusalem
1;jewish
1;israel
1;holiday
1;hartman
1;reform
2;judaism
2;christianity
2;islam
2;muslim
2;jew
2;christian
2;israel
2;jerusalem
2;hartman
2;institute
4;make
4;up
4;brown
5;film
5;independent
5;film
5;short
5;film
5;experimental
5;film
5;production
5;jobs
7;anglicantv
9;anglicantv
10;anglicantv
11;trailer
13;abriendo_las_cajas
13;digital_storytelling
13;youth_stories
13;violence
13;domestic_violence
13;gangs
13;health
13;drugs
13;alcohol
14;abriendo_las_cajas
14;digital_storytelling
14;youth_stories
14;violence
14;domestic_violence
14;gangs
14;health
14;drugs
14;alcohol
15;abriendo_las_cajas
15;digital_storytelling
15;youth_stories
15;violence
15;domestic_violence
15;gangs
15;health
15;drugs
15;alcohol
16;new_age
16;world
16;joseph_patrick_moore
16;doublebass
16;strings
17;performance
17;funk
17;solo
17;joseph_patrick_moore
17;jazz
18;interview
18;joseph_patrick_moore
18;jazz
18;music
18;interviews
19;jazz
19;world
19;music
20;elephant_man
20;dancehall
20;reggae
20;jamaica
20;caribbean
22;recipes
22;cooking
24;recipe
25;cooking
25;recipes
26;summer
26;music
28;jazz
28;rock
28;swing
28;danse
28;dance
28;music
28;musique
28;webtv
28;web
28;tv
28;musicale
28;chaine
28;video
28;clip
28;live
28;festival
28;rockabilly
28;pionnier
28;jump
28;jive
30;folk
30;country
30;music
30;seattle
32;mighty
32;mike
32;saga
32;of
33;climate
33;change
33;global
33;now
33;guy
33;bill
33;peter
33;tv
33;documentary
34;dance
34;music
34;animation
35;oneminutecritic
35;fvrl
35;vancouver
35;library
35;books
35;cooking
36;fitness
37;food
37;show
37;black
37;brian
37;han
37;chef
37;mark
38;food
38;cocktail
38;spirits
38;drink
38;culinary
38;media
38;network
39;food
39;podcast
39;old
39;house
39;le
40;food
40;podcast
41;hawaii
41;maui
42;hawaii
42;maui
42;chef
42;mark
43;wales
44;gold
44;mighty
44;pirate
44;metal
44;australia
44;casino
44;gig
44;live
44;bass
44;guitar
44;drums
44;ship
44;rock
44;band
44;power
44;fight
44;beer
44;gun
44;i
45;green
45;homeless
45;metal
45;australia
45;fire
45;red
45;gig
45;show
45;rock
45;music
45;sword
46;music
46;metal
46;pirate
46;australia
46;bass
46;guitar
46;mighty
46;sword
46;comedy
46;funny
46;humor
46;future
46;boy
46;fire
46;ship
46;what
46;better
46;nerd
46;game
46;outdoors
46;great
47;food
48;robert
48;relationship
48;dating
48;eclipse
49;davidleeking
49;drums
49;hand
49;world
50;park
50;theme
50;ship
50;boat
50;davidleeking
52;baseball
53;nba
53;basketball
53;boston
53;los_angeles
53;la
53;washington
53;sports
54;public
54;display
55;atlantis
55;occult
55;dark
55;digital
55;media
56;yoga
56;get
56;exercised
56;dina
56;prioste
56;day
56;health
56;body
56;gym
56;fitness
56;pose
56;heart
56;chocolate
56;vinyasa
56;hatha
56;ashtanga
57;yoga
57;get
57;exercised
57;dina
57;prioste
57;health
57;fitness
57;beauty
57;stretch
57;flexible
57;vinyasa
57;hatha
57;ashtanga
57;comedy
57;funny
58;yoga
58;health
58;fitness
58;get_exercised
58;dina_prioste
58;stretch
58;flexible
58;beauty
58;comedy
58;funny
58;vinyasa
58;hatha
58;ashtanga
59;yoga
59;get_exercised
59;dina_prioste
59;health
59;fitness
59;beauty
59;core
59;strength
59;boat
59;pose
59;stretch
59;flexible
59;vinyasa
59;hatha
59;ashtanga
59;comedy
59;funny
60;yoga
60;get_exercised
60;dina_prioste
60;breathing
60;balance
60;vinyasa
60;ashtanga
60;hatha
60;comedy
60;funny
61;yoga
61;get_exercised
61;dina_prioste
61;health
61;fitness
61;beauty
61;back
61;strength
61;strong
61;muscles
61;stretch
61;flexible
61;vinyasa
61;hatha
61;ashtanga
61;comedy
61;funny
61;superman
62;yoga
62;get_exercised
62;dina_prioste
62;healthy
62;fitness
62;beauty
62;strong
62;stretch
62;workout
62;gym
62;flexible
62;muscles
62;duck
62;vinyasa
62;hatha
62;ashtanga
62;comedy
62;funny
63;yoga
63;get_exercised
63;dina_prioste
63;healthy
63;fitness
63;beauty
63;hot
63;sexy
63;party
63;stretching
63;flexible
63;strong
63;workout
63;muscles
63;vinyasa
63;hatha
63;ashtanga
63;comedy
63;funny
64;yoga
64;get_exercised
64;dina_prioste
64;healthy
64;fitness
64;beauty
64;body
64;halloween
64;sexy
64;hot
64;butt
64;stretching
64;flexible
64;hips
64;vinyasa
64;hatha
64;ashtanga
64;comedy
64;funny
65;yoga
65;get_exercised
65;dina_prioste
65;healthy
65;fitness
65;stretching
65;flexible
65;strength
65;muscles
65;vinyasa
65;hatha
65;ashtanga
65;confidence
66;yoga
66;get_exercised
66;dina_prioste
66;healthy
66;fitness
66;depression
66;stretching
66;flexible
66;breathing
66;blues
66;vinyasa
66;hatha
66;ashtanga
67;yoga
67;get_exercised
67;dina_prioste
67;healthy
67;fitness
67;stretching
67;hips
67;feet
67;vinyasa
67;hatha
67;ashtanga
68;yoga
68;get_exercised
68;dina_prioste
68;healthy
68;fitness
68;stretching
68;hips
68;flexible
68;wall
68;vinyasa
68;hatha
68;ashtanga
70;christmas
70;holiday
70;cocktail
70;alcohol
71;cocktail
71;drink
71;italy
72;drink
72;bar
72;cocktail
72;alcohol
75;obama
75;oil
75;fuel
75;jobs
75;lost_jobs
76;us_economy
76;trade
76;fair_trade
76;free_trade
76;economy_in_crisis
76;economic_crisis
77;us_economy
77;obama
77;free_trade
77;fair_trade
77;economy_in_crisis
79;economic_crisis
79;economy_in_crisis
80;usa
80;taxes
80;obama
80;lost_jobs
80;economy_in_crisis
80;economic_crisis
81;obama
81;us_economy
81;banks
81;economy_in_crisis
81;lost_jobs
81;free_trade
82;recession
82;depression
82;us_economy
83;obama
83;economy_in_crisis
83;economic_crisis
84;obama
84;trade
84;free_trade
84;fair_trade
84;economy_in_crisis
84;economic_crisis
85;economy_in_crisis
86;gm
87;obama
88;outsourcing
88;lost_jobs
88;economy_in_crisis
90;obama
90;us
90;congress
90;economy
90;in
90;crisis
90;crisis
90;free
90;trade
90;trade
90;war
90;fair
90;trade
90;lost
90;jobs
90;outsourcing
91;economy_in_crisis
91;economic_crisis
91;obama
92;cars
92;free_trade
92;obama
93;obama
93;lost_jobs
93;economy_in_crisis
93;economic_crisis
93;china
94;obama
94;congress
95;us_economy
95;economy_in_crisis
95;economic_crisis
96;obama
96;economy_in_crisis
96;economic_crisis
97;wto
97;obama
97;economy_in_crisis
97;economic_crisis
97;trade
98;economy_in_crisis
98;economic_crisis
98;free_trade
100;carlos
100;american
100;quezada
100;news
100;network
100;san
100;contest
100;star
101;eduardo
101;quezada
101;texas
101;mexico
101;argentina
101;chile
102;luis
102;eduardo
102;quezada
102;tony
102;mexico
102;piano
102;usa
102;high
102;school
102;money
102;free
103;mike
103;ian
103;folk
103;music
104;theatre
104;three
104;light
104;in
104;the
105;international
105;obama
105;congress
106;marc_strassman
106;writing
107;marc_strassman
109;marc_strassman
113;bury
113;club
113;division
113;fan
113;fans
113;fc-utd
113;fcum
113;fcumtv
113;fitba
113;football
113;footie
113;futba
113;gigg
113;interview
113;lane
113;league
113;manchester
113;match
113;non-league
113;north
113;northern
113;owned
113;park
113;premier
113;soccer
113;supporters
113;unibond
113;united
113;charlie
114;boston
114;bury
114;club
114;division
115;bury
115;club
115;division
115;fan
