license_id;license_type
4;Creative Commons Attribution-NonCommercial 2.0
1;Creative Commons Attribution 2.0
6;Creative Commons Attribution-ShareAlike 2.0
2;Creative Commons Attribution-NoDerivs 2.0
11;Creative Commons Attribution-NonCommercial-NoDerivs 3.0
12;Creative Commons Attribution-NonCommercial 3.0
13;Creative Commons Attribution-NonCommercial-ShareAlike 3.0
3;Creative Commons Attribution-NonCommercial-NoDerivs 2.0
7;Public Domain
5;Creative Commons Attribution-NonCommercial-ShareAlike 2.0
9;Creative Commons Attribution 3.0
10;Creative Commons Attribution-NoDerivs 3.0
14;Creative Commons Attribution-ShareAlike 3.0
